id	status	source	declaration	scope
G1-lindenbaum-prime	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLindenbaum.lean	theorem MaximalAvoiding.or_iff	Maximal target-avoiding extensions are deductively closed and prime for disjunction.
G1-implication-counterworld	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLindenbaum.lean	theorem PrimeTheory.imp_iff	Missing implication produces an extending prime future world containing its premise and excluding its conclusion.
G1-layered-henkin	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLayered.lean	def layerCompletionPrimeTheory	Target-avoiding layered completion constructs bounded prime theories with existential witnesses.
G1-implication-future	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLayered.lean	theorem LayeredPrimeTheory.future_counterexample_of_imp_not_mem	A missing implication yields an extending layered world containing its premise and omitting its conclusion.
G1-universal-future	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLayered.lean	theorem LayeredPrimeTheory.future_counterexample_of_all_not_mem	A missing universal yields an extending world with a fresh bounded counter-witness.
G1-layered-truth	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLayeredCanonical.lean	theorem truth	The layered varying-domain canonical model satisfies the truth lemma for constant-free formulas and bounded valuations.
G1-countermodel	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLayeredCanonical.lean	theorem countermodel_of_not_derives	Every non-derivation with constant-free context and conclusion has a concrete layered Kripke countermodel.
G1-completeness	checked	incidence-theory/IncidenceTheory/CompletionCapstone.lean	theorem referenceFoundation_kripke_complete	Kripke semantic entailment implies derivability for the fixed constant-free first-order reference fragment.
G2-dependent-interpretation	checked	incidence-theory/IncidenceTheory/FoundationCompletion.lean	theorem IncDepCompletionModel.interpretTyping_sound	Total interpretation and coherence for the completion-facing dependent typing judgment.
G3-hf-model	checked	incidence-theory/IncidenceTheory/ReferenceFoundationHFModel.lean	def hfRecursiveModel	Concrete extensional hereditary-finite model of all finite-fragment axioms.
G3-finite-consistency	checked	incidence-theory/IncidenceTheory/ReferenceFoundationHFModel.lean	theorem hfReferenceFoundation_consistent	Model-relative consistency of the hereditary-finite reference fragment.
G3-infinity-model	checked	incidence-theory/IncidenceTheory/ReferenceFoundationZFModel.lean	def zfActualInfinityModel	Mathlib ZFSet model validates extensionality, empty, pairing, union, powerset, bounded separation, and actual infinity with omega.
G3-infinity-syntax	checked	incidence-theory/IncidenceTheory/ReferenceFoundationInfinity.lean	def actualInfinitySchema	Actual infinity is fixed as existence of a set containing empty and closed under von Neumann successor; it is not the finite top placeholder.
G3-infinity-consistency	checked	incidence-theory/IncidenceTheory/ReferenceFoundationZFModel.lean	theorem zfActualInfinityFoundation_consistent	The actual-infinity reference theory is consistent relative to Lean and Mathlib's extensional ZFSet construction.
G4-term-interpretation	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLogic.lean	def Term.evaluate	Total interpretation of reference terms in an arbitrary certified structure.
G4-formula-interpretation	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLogic.lean	def Formula.Realize	Total interpretation of reference formulas and quantifiers.
G5-proof-preservation-semantic	checked	incidence-theory/IncidenceTheory/ReferenceFoundationHFModel.lean	theorem hfReferenceFoundation_sound	Every finite-reference derivation is preserved into HF model validity.
G5-proof-preservation-inc-syntax	checked	incidence-theory/IncidenceTheory/ReferenceFoundationConservativity.lean	theorem encode_derivation_sound	Every reference derivation embeds into the Inc proof extension.
G6-conservativity	checked	incidence-theory/IncidenceTheory/ReferenceFoundationConservativity.lean	theorem encode_conservative	Closed embedded reference formulas are reflected back by a checked syntactic retraction.
G7-axiom-audit	checked	incidence-theory/CompletionAudit.lean	#print axioms hfReferenceFoundation_consistent	Verifier runs the capstone axiom report and rejects sorryAx or explicit axiom declarations.
G8-incidence-witness	checked	incidence-theory/IncidenceTheory/FoundationIncidenceWitness.lean	theorem hfReferenceIncidenceWitness_nontrivial	Nontrivial ordinal interpretation connects HF logic evaluation, incidence boundary, and bisimulation reflection.
G9-claim-gate	checked	scripts/verify-completion-claims.sh	completion claim matrix verified	Every checked matrix row must name a declaration present in its authoritative source file.
M-finite-fragment-certificate	checked	incidence-theory/IncidenceTheory/CompletionCapstone.lean	def finiteFoundationCertificate	Finite milestone only: bundles the HF model, relative consistency, conservative Inc extension, and nontrivial incidence witness.
M-complete-foundation-certificate	checked	incidence-theory/IncidenceTheory/CompletionCapstone.lean	def completeFoundationCertificate	Bundles scoped first-order Kripke completeness, the actual-infinity model and relative consistency, conservativity, and the nontrivial incidence witness.
IC1-resonance-descent	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem resonanceRelationDescendsExactly_iff	Exact descent of resonance to the bisimulation quotient is equivalent to ternary bisimulation congruence.
IC2-resonance-universal	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem bisimulationQuotientResonance_universal	Every bisimulation-invariant resonance homomorphism factors uniquely through the quotient.
IC3-finite-obstructions	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem finite_exact_resonance_descent_iff_no_obstructions	For finite carriers, exact descent is equivalent to emptiness of the finite six-representative obstruction set.
IC4-simplex-obstruction	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplexIncidence_finite_obstruction_nonempty	The ordinary finite simplex selector has an explicit finite resonance-descent obstruction.
IC5-coordinate-classification	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem quotientResonanceCongruent_iff_coordinatewise	Global ternary resonance congruence is equivalent to separate left, right, and output congruence.
IC6-local-finite-obstructions	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem finite_exact_descent_iff_no_local_obstructions	Finite exact descent is classified by emptiness of the reduced tagged local obstruction set.
IC7-obstruction-swap-free	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem LocalResonanceDescentCandidate.swap_ne_of_obstruction	Representative reversal is a fixed-point-free involution on local obstruction certificates.
IC8-obstruction-orbits	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem exact_descent_iff_no_local_obstruction_orbit	Exact descent is equivalent to absence of a representative-order-independent local obstruction orbit.
IC9-functional-output-necessity	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem exact_descent_forces_functional_selected_output_classes_singleton	Exact descent of graph-functional resonance forces every selected output's bisimulation class to be a singleton.
IC10-functional-selector-necessity	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem exact_descent_forces_functional_left_selector_invariance	Exact descent of graph-functional resonance forces selector invariance across bisimilar left inputs.
IC11-simplex-structural-obstruction	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_selector_obstruction_from_functionality	The simplex selector obstruction is generated by the general functional selector-disagreement theorem.
IC12-relational-descent-classification	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem resonanceRelationDescendsExactly_iff_transport_and_outputSaturated	Exact relational resonance descent is equivalent to bisimulation mode transport plus output saturation.
IC13-relational-descent-spec	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem RelationalResonanceDescentSpec.exactDescent	The bundled relational transport-and-saturation specification constructs exact quotient descent.
IC14-resonance-category-laws	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem TernaryResonanceHom.comp_assoc	Resonance-preserving morphisms have associative composition together with checked identity laws.
IC15-kernel-pair-invariance	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem equalizesBisimulationKernelPair_iff_invariant	Equalizing the bisimulation kernel-pair projections is equivalent to bisimulation invariance.
IC16-resonance-coequalizer	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem bisimulationQuotient_is_resonanceCoequalizer	The bisimulation quotient projection is the coequalizer of the kernel-pair projections in ternary resonance systems.
IC17-standard-category	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	instance ternaryResonanceSystemCategory	Ternary resonance systems and preserving maps form a universe-polymorphic mathlib category.
IC18-standard-iscolimit	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def bisimulationQuotientResonanceCofork_isColimit	The quotient cofork satisfies mathlib's standard CategoryTheory IsColimit interface.
IC19-coequalizer-naturality	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem bisimulationQuotientResonanceCofork_homIso_natural	The standard coequalizer hom equivalence is natural under postcomposition.
IC20-shape-mode-positive-model	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem shapeModeSimplex_resonance_descends_exactly	The non-saturated multivalued simplex shape-mode resonance descends exactly to its three-class quotient.
IC21-shape-mode-nontriviality	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem shapeModeSimplex_is_genuinely_multivalued	The geometric shape-mode model has distinct resonance outputs for one interaction.
IC22-shape-mode-representation	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem shapeModeSimplex_quotientResonance_representation	Quotient resonance in the simplex model is represented exactly by equality with either input shape.
IC23-shape-mode-not-saturated	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem shapeModeSimplex_is_not_saturated	The geometric shape-mode relation excludes an unrelated output dimension and is not the total ternary relation.
IC24-generic-class-mode-descent	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem ClassModeQuotientSpec.exactDescent	Every selector-compatible surjective classification whose kernel is bisimulation induces exact class-mode resonance descent.
IC25-generic-class-mode-representation	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem ClassModeQuotientSpec.quotientResonance_representation	The generic class-mode quotient relation is represented exactly by equality with either input class.
IC26-simplex-general-instance	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem shapeModeSimplex_exactDescent_from_generalConstruction	The nontrivial simplex model is an instance of the generic class-mode construction.
IC27-paper-capstone	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def incidenceTheoryPaperCapstone	A single checked certificate bundles the paper's descent, categorical, finite-classification, generic-construction, and model results.
IC28-minimal-obstruction-existence	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem exists_supportMinimalObstruction_of_not_exact_descent	Every failure of exact descent on a finite carrier has a support-cardinality-minimal local obstruction.
IC29-sharp-simplex-obstruction	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplexTwoVertexLocalObstruction_isSupportMinimal	The ordinary simplex selector has a support-minimal obstruction on exactly two vertices, attaining the universal lower bound.
IC30-automorphism-invariance	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem ResonanceBisimulationAutomorphism.mapCandidate_supportMinimal	Resonance-bisimulation automorphisms preserve obstruction status, support size, and support-minimality.
IC31-automorphism-orbit-classification	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem exact_descent_iff_no_automorphism_obstruction_orbit	Exact descent is equivalent to absence of an obstructing orbit under all resonance-bisimulation automorphisms.
IC32-executable-orbit-classification	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem finiteSupportMinimalObstructionOrbits_empty_iff_exactDescent	For finite decidable models, the executable table of support-minimal automorphism orbits is empty exactly when resonance descends.
IC33-simplex-automorphism-count	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_finite_automorphism_count	Native evaluation proves that the simplex selector has exactly 12 resonance-bisimulation automorphisms.
IC34-simplex-minimal-orbit-count	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_minimal_obstruction_orbit_count	The explicit structural equivalence proves that the simplex selector has exactly 32 support-minimal obstruction orbits; native evaluation is only an independent check.
IC35-free-incidence-universal	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem freeIncidence_universal	Unit-normal binary trees give a free empty-boundary incidence: every generator map into a total-glue incidence extends uniquely to a unit-and-glue preserving morphism.
IC36-free-incidence-resonance	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def freeIncidenceFoldResonanceHom	The universal fold preserves the graph resonance relation and induces a resonance homomorphism.
IC37-logical-necessity-iff	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem exactDescent_iff_all_resonanceFormula_invariant	Exact quotient descent is equivalent to preservation of every resonance-sensitive propositional formula under pointwise bisimilar valuations.
IC38-atomic-counterobservation	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem observation_not_invariant_of_no_exactDescent	Every failure of exact descent is observed already by the atomic formula resonance(left,right,output).
IC39-simplex-orbit-family-partition	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_minimal_obstruction_family_partition	The 32 support-minimal simplex obstruction orbits are exhausted by five structural coordinate-and-shape families.
IC40-simplex-orbit-family-counts	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_minimal_obstruction_family_count	The five simplex obstruction families have respectively 8, 4, 4, 12, and 4 automorphism orbits.
IC41-simplex-orbit-normal-forms	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_minimal_obstruction_normal_form_classification	A coordinate, shape, distinguished-v0, and equality-pattern signature is constant on each simplex obstruction orbit, separates distinct orbits, and gives exactly 32 normal forms.
IC42-incproof-observation-translation	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def ResonanceFormula.toIncProof	Every valuation closes the resonance observation language into the existing ReferenceFoundation IncProof syntax.
IC43-incproof-forget-compatibility	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem ResonanceFormula.forget_toIncProof	The existing conservativity retraction forgets translated physical atoms to truth and commutes with every propositional connective.
IC44-incproof-logical-necessity	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem exactDescent_iff_all_translatedIncProof_invariant	Exact descent is equivalent to bisimulation invariance of every translated IncProof observation under any semantics agreeing with the source resonance.
IC45-presented-free-incidence	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def presentedFreeIncidence	Irreflexive generator boundaries and ternary resonance generators induce a genuine free Incidence with nonempty presented boundaries and relational resonance.
IC46-presented-incidence-fold	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def presentedIncidenceFoldHom	Every target interpretation of the boundary and resonance generators extends to a glue-, boundary-, and resonance-preserving fold.
IC47-presented-incidence-universal	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem presentedFreeIncidence_universal	The presented fold is the unique structure-preserving morphism extending the prescribed generator interpretation.
IC48-equational-glue-congruence	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	inductive PresentedTermCongruence	Presentation equations generate the least equivalence relation closed under the unit-normal glue operation.
IC49-equational-quotient-incidence	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def equationalPresentedFreeIncidence	Boundary representative-independence and quotient irreflexivity suffice to construct a genuine Incidence on the equational quotient.
IC50-equational-resonance-exactness	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem presentedQuotientResonance_mk_iff	Resonance congruence makes the saturated quotient resonance agree exactly with the presented relation on representatives.
IC51-equational-fold-universal	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem equationalPresentedIncidenceFold_universal	Every target algebra satisfying the presentation equations factors uniquely through the equational quotient.
IC52-structured-incidence-fold	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def equationalPresentedIncidenceFoldHom	The equational quotient fold preserves unit, glue, every presented boundary endpoint, and the full relational resonance.
IC53-structured-equational-universal	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem equationalPresentedIncidenceFoldHom_universal	The structured quotient fold is the unique fully structure-preserving morphism extending the generator interpretation.
IC54-boundary-descent-criterion	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem presentedBoundary_descendsExactly_iff_congruent	Presented boundary data descends exactly to the equational quotient iff its quotient-mapped endpoint lists are representative independent.
IC55-quotient-boundary-well-founded-criterion	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem presentedQuotientBoundary_wellFounded_iff_irreflexive	The descended quotient boundary is well founded exactly when no quotient endpoint becomes its own source class.
IC56-presented-resonance-descent-criterion	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem presentedResonance_descendsExactly_iff_congruent	Presented ternary resonance descends exactly to the equational quotient iff the generated equation relation is a resonance congruence.
IC57-equational-quotient-admissibility	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem equationalPresentationQuotientAdmissible_iff	A single certificate characterizes simultaneous exact boundary descent, quotient well-foundedness, and exact resonance descent.
IC58-abstract-congruence-quotient	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def CongruencedTernaryResonanceSystem.quotientSystem	Every ternary resonance system bundled with a relation congruence has an exact quotient resonance system.
IC59-congruence-reflection-factor	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def congruenceQuotientResonanceLift	Every congruence-invariant resonance homomorphism factors through the abstract quotient projection.
IC60-congruence-reflection-universal	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def ternaryCongruenceQuotientReflection	The quotient projection, factorization, commuting triangle, and uniqueness form an objectwise reflection certificate.
IC61-incidence-reflection-instance	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def incidenceBisimulationQuotientReflection	Every resonance-congruent incidence bisimulation quotient is an instance of the abstract ternary-congruence reflection.
IC62-graded-incidence-family	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	structure GradedIncidenceQuotientSpec	Behaviorally complete cell gradings uniformly induce exact class-mode quotient models.
IC63-graded-quotient-representation	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem GradedIncidenceQuotientSpec.quotientResonance_representation	Every graded family quotient is represented by the relation outputGrade equals leftGrade or rightGrade.
IC64-graded-map-functoriality	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem GradedIncidenceMap.comp_toResonanceHom	Grade-preserving maps induce resonance homomorphisms compatibly with identities and composition.
IC65-simplex-graded-family-instance	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem shapeModeSimplex_exactDescent_from_gradedFamily	The vertex-edge-face simplex model is an instance of the functorial graded incidence family.
IC66-congruenced-resonance-category	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	instance congruencedTernaryResonanceSystemCategory	Congruenced ternary resonance systems and relation-preserving resonance homomorphisms form a mathlib category.
IC67-congruence-quotient-functor	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def congruenceQuotientFunctor	Taking the exact ternary congruence quotient is functorial.
IC68-equality-congruence-embedding	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def equalityCongruenceEmbedding	Ordinary ternary resonance systems embed functorially as systems equipped with equality congruence.
IC69-congruence-quotient-adjunction	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def congruenceQuotientAdjunction	The congruence quotient functor is left adjoint to the equality-congruence embedding via a natural hom-set equivalence.
IC70-path-graded-family-instance	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def pathGradedIncidenceQuotientSpec	The infinite simplicial path has exactly node and edge bisimulation grades and is a second conventional graded-family instance, independent of finite enumeration.
IC71-bounded-graded-boundary-kernel	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem BoundedGradedBoundaryProfile.grade_iff_approxBisim	Codimension-one boundary descent, positive-cell nonemptiness, and homogeneous boundary profiles force bounded dimension equality to coincide exactly with bisimulation.
IC72-bounded-graded-automatic-quotient	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def BoundedGradedBoundaryProfile.toGradedIncidenceQuotientSpec	Every bounded graded boundary profile automatically induces an exact graded incidence quotient.
IC73-standard-simplicial-incidence	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def FiniteSimplicialComplex.incidence	Every downward-closed family of nonempty finite vertex sets, with a chosen unit cell, carries a genuine codimension-one simplicial Incidence.
IC74-simplicial-dimension-classification	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem FiniteSimplicialComplex.dimension_iff_approxBisim	For every standard abstract simplicial complex, two cells are bisimilar exactly when their dimensions agree.
IC75-simplicial-family-exact-quotient	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def FiniteSimplicialComplex.gradedQuotientSpec	Every standard abstract simplicial complex automatically yields a represented-dimension graded quotient with exact class-mode resonance descent.
IC76-simplex-structural-orbit-arithmetic	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_structural_orbit_count	The five minimal-obstruction families have structural pattern counts 2+2+4, 4, 2+2, 3*4, and 4, whose sum is proved to be 32 without native enumeration.
IC77-simplex-structural-orbit-parameters	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def simplexStructuralCanonicalOrbit	An explicit 32-element structural parameter type selects canonical obstruction candidates and maps each to its concrete simplex automorphism orbit.
IC78-functional-either-output-obstructions	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem functional_left_selector_disagreement_obstructs_at_either_output	A functional selector disagreement yields an input obstruction when either distinct selected output is used as the test mode; symmetric right-input and output-coordinate theorems are also proved.
IC79-two-support-minimality	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem LocalResonanceDescentCandidate.isSupportMinimal_of_pair	Every obstruction whose two fixed slots lie among its distinct representative pair has support exactly two and is automatically support-minimal.
IC80-canonical-fixed-slot-pair	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplexStructuralCanonicalCandidate_fixedSlots_mem_pair	For every one of the 32 structural parameters, both canonical fixed slots lie in its ordered representative pair, without enumerating parameter values.
IC81-simplex-output-pair-obstruction	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_output_pair_obstructs	Any two distinct same-shape simplex representatives and any two fixed slots chosen from that pair generate an output-coordinate obstruction.
IC82-canonical-structural-obstructions	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplexStructuralCanonicalCandidate_isObstruction	Every one of the 32 structural parameters produces a genuine simplex local obstruction, proved through selector equations and pair lemmas rather than candidate enumeration.
IC83-canonical-structural-minimality	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplexStructuralCanonicalCandidate_isSupportMinimal	Every structural canonical obstruction has support exactly two and is support-minimal.
IC84-structural-to-minimal-orbit-map	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def simplexStructuralMinimalOrbitMap	The explicit 32-element structural parameter space maps totally into the subtype of computed support-minimal simplex automorphism orbits.
IC85-structural-orbit-map-injective	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplexStructuralMinimalOrbitMap_injective	Canonical normal-form injectivity and orbitwise normal-form constancy prove that distinct structural parameters determine distinct minimal automorphism orbits.
IC86-card-assisted-structural-orbit-equivalence	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	def simplexStructuralMinimalOrbitEquiv	Using injectivity and the previously computed target cardinality 32, the structural parameter map is packaged as an equivalence with the minimal-orbit subtype.
IC87-all-minimal-simplex-support-two	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_support_card_eq_two_of_supportMinimal	Every support-minimal simplex obstruction has support cardinality exactly two, derived from a structural size-two witness and the universal lower bound.
IC88-all-minimal-simplex-binary-pattern	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_supportMinimal_fixedSlots_mem_pair	Every support-minimal simplex obstruction has both fixed slots among its two representatives; its distinct representative pair has vertex or edge shape, never face shape.
IC89-simplex-pair-transitivity	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_edge_pair_automorphism	Every ordered distinct edge pair is carried to e01,e02 by a resonance-bisimulation automorphism; the companion vertex theorem gives the three distinguished-unit orbit types.
IC90-structural-pattern-inverse	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem exists_simplexFixedSlotPattern_eq_of_mem_pair	Every ordered pair of fixed slots drawn from two representatives is encoded by one of the four structural Fin patterns.
IC91-coordinatewise-structural-normalization	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_right_supportMinimal_structural_normalization	The left, right, and output coordinate theorems normalize every support-minimal candidate into exactly one of the eight structural parameter summands without orbit-cardinality input.
IC92-all-minimal-structural-normalization	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_supportMinimal_structural_normalization	Every support-minimal simplex obstruction is carried by an explicit resonance automorphism to a canonical structural obstruction.
IC93-card-independent-orbit-surjectivity	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplexStructuralMinimalOrbitMap_surjective_without_card	Every computed minimal obstruction orbit has a structural parameter preimage, without using the previously computed target cardinality.
IC94-nonenumerative-simplex-orbit-count	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem simplex_minimal_obstruction_orbit_count	The 32 minimal simplex obstruction orbits follow from the explicit structural equivalence and arithmetic parameter count rather than native orbit enumeration.
IC95-incidence-core-definition	checked	incidence-theory/IncidenceTheory/Axioms.lean	structure Incidence	The core incidence carrier bundles boundary, typing, glue, ternary resonance, unit, and their structural laws.
IC96-ternary-resonance-system	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	structure TernaryResonanceSystem	The paper-facing category separates a carrier and ternary resonance relation from the underlying incidence presentation.
IC97-exact-descent-uniqueness	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem exact_descended_resonance_unique_without_assumption	Any relation exact on quotient representatives is equal to the canonical quotient resonance relation.
IC98-nat-sum-obstruction	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem natSum_has_no_exact_resonance_quotient	The coproduct of two natural-number incidence structures is an explicit negative exact-descent model.
IC99-saturated-simplex-positive-model	checked	incidence-theory/IncidenceTheory/IncidenceResearch.lean	theorem saturatedSimplex_resonance_descends_exactly	The saturated seven-cell simplex has exact descent, three shape classes, and is non-faithful as witnessed by companion checked theorems.
